January - December 2019 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MT-031,"Gallatin County",26.01,91,1.72,24.29
MT-033,"Garfield County",19.59,124,6.89,12.7
MT-035,"Glacier County",23.12,46,-2.27,25.39
MT-037,"Golden Valley County",19.66,126,5.6,14.06
MT-039,"Granite County",22.46,47,-2.05,24.51
MT-041,"Hill County",12.59,78,0.66,11.93
MT-043,"Jefferson County",19.65,89,1.19,18.46
MT-045,"Judith Basin County",22.4,99,2.62,19.78
MT-047,"Lake County",24.2,57,-0.74,24.94
MT-049,"Lewis and Clark County",27.46,109,4.53,22.93
MT-051,"Liberty County",13.12,86,1.44,11.68
MT-053,"Lincoln County",27.34,20,-6.0,33.34
MT-055,"McCone County",19.31,123,6.52,12.79
MT-057,"Madison County",23.57,73,0.48,23.09
MT-059,"Meagher County",21.21,60,-0.76,21.97
MT-061,"Mineral County",31.76,18,-6.49,38.25
MT-063,"Missoula County",28.92,57,-0.88,29.8
MT-065,"Musselshell County",19.37,125,5.79,13.58
MT-067,"Park County",28.7,99,2.49,26.21
MT-069,"Petroleum County",17.97,120,4.93,13.04
MT-071,"Phillips County",17.9,121,5.29,12.61
MT-073,"Pondera County",19.1,100,2.49,16.61
MT-075,"Powder River County",22.64,128,8.04,14.6
MT-077,"Powell County",28.08,85,1.4,26.68
MT-079,"Prairie County",17.88,121,5.12,12.76
MT-081,"Ravalli County",24.88,28,-4.66,29.54
MT-083,"Richland County",18.83,121,5.17,13.66
MT-085,"Roosevelt County",18.52,125,5.54,12.98
MT-087,"Rosebud County",21.05,128,7.41,13.64
MT-089,"Sanders County",27.67,25,-4.15,31.82
MT-091,"Sheridan County",19.97,123,6.16,13.81
MT-093,"Silver Bow County",19.5,82,0.84,18.66
MT-095,"Stillwater County",25.75,128,7.86,17.89
MT-097,"Sweet Grass County",24.74,127,6.01,18.73
MT-099,"Teton County",21.38,102,3.52,17.86
MT-101,"Toole County",13.73,89,1.3,12.43
MT-103,"Treasure County",20.91,126,7.38,13.53
MT-105,"Valley County",17.42,123,4.88,12.54
MT-107,"Wheatland County",20.97,126,5.01,15.96
MT-109,"Wibaux County",22.52,128,8.22,14.3
MT-111,"Yellowstone County",19.17,125,5.65,13.52
NE-001,"Adams County",36.08,123,10.95,25.13
NE-003,"Antelope County",30.73,111,6.03,24.7
NE-005,"Arthur County",23.32,115,4.69,18.63
NE-007,"Banner County",22.84,123,5.65,17.19
NE-009,"Blaine County",36.89,127,14.43,22.46
NE-011,"Boone County",32.25,117,6.83,25.42
NE-013,"Box Butte County",21.14,114,4.27,16.87
NE-015,"Boyd County",34.82,125,12.05,22.77
NE-017,"Brown County",34.79,126,12.12,22.67
NE-019,"Buffalo County",38.83,128,14.64,24.19
NE-021,"Burt County",34.23,106,5.67,28.56
NE-023,"Butler County",34.95,111,6.93,28.02
NE-025,"Cass County",41.07,119,10.79,30.28
NE-027,"Cedar County",32.62,110,6.56,26.06
NE-029,"Chase County",19.46,78,0.55,18.91
NE-031,"Cherry County",32.24,127,12.13,20.11
NE-033,"Cheyenne County",22.72,120,5.05,17.67
NE-035,"Clay County",35.89,122,9.59,26.3
NE-037,"Colfax County",31.13,95,3.55,27.58
NE-039,"Cuming County",31.31,93,3.53,27.78
NE-041,"Custer County",35.41,128,12.57,22.84
NE-043,"Dakota County",32.59,108,6.17,26.42
NE-045,"Dawes County",21.73,111,3.72,18.01
NE-047,"Dawson County",31.55,122,9.19,22.36
NE-049,"Deuel County",23.86,121,5.58,18.28
NE-051,"Dixon County",31.28,101,4.84,26.44
NE-053,"Dodge County",36.05,111,7.28,28.77
NE-055,"Douglas County",40.2,120,10.62,29.58
NE-057,"Dundy County",17.61,57,-1.08,18.69
NE-059,"Fillmore County",38.69,123,10.99,27.7
NE-061,"Franklin County",33.55,121,9.5,24.05
NE-063,"Frontier County",29.04,122,7.8,21.24
NE-065,"Furnas County",28.72,120,6.86,21.86
NE-067,"Gage County",42.26,124,12.25,30.01
NE-069,"Garden County",23.78,123,6.11,17.67
NE-071,"Garfield County",37.69,128,15.13,22.56
NE-073,"Gosper County",31.13,122,9.0,22.13
NE-075,"Grant County",25.15,120,5.97,19.18
NE-077,"Greeley County",36.83,125,12.69,24.14
NE-079,"Hall County",39.02,128,14.22,24.8
NE-081,"Hamilton County",38.41,125,12.5,25.91
NE-083,"Harlan County",31.56,121,8.69,22.87
NE-085,"Hayes County",25.04,112,4.55,20.49
NE-087,"Hitchcock County",22.07,86,1.9,20.17
NE-089,"Holt County",35.77,128,12.82,22.95
NE-091,"Hooker County",29.92,126,9.57,20.35
NE-093,"Howard County",39.8,128,15.3,24.5
NE-095,"Jefferson County",42.37,124,13.64,28.73
NE-097,"Johnson County",41.86,117,10.3,31.56
NE-099,"Kearney County",35.74,122,11.38,24.36
NE-101,"Keith County",23.34,114,4.86,18.48
NE-103,"Keya Paha County",33.98,126,12.3,21.68
NE-105,"Kimball County",22.18,123,5.55,16.63
NE-107,"Knox County",32.94,120,8.33,24.61
NE-109,"Lancaster County",40.41,122,11.33,29.08
NE-111,"Lincoln County",29.16,124,8.54,20.62
NE-113,"Logan County",34.54,128,13.24,21.3
NE-115,"Loup County",37.07,128,14.53,22.54
NE-117,"McPherson County",28.62,126,8.7,19.92
NE-119,"Madison County",29.85,97,3.55,26.3
NE-121,"Merrick County",37.75,124,12.05,25.7
NE-123,"Morrill County",22.47,123,6.17,16.3
NE-125,"Nance County",32.9,113,7.18,25.72
NE-127,"Nemaha County",40.93,117,7.76,33.17
NE-129,"Nuckolls County",38.79,123,12.26,26.53
NE-131,"Otoe County",40.73,117,9.63,31.1
NE-133,"Pawnee County",43.23,123,11.11,32.12
NE-135,"Perkins County",22.47,105,3.65,18.82
NE-137,"Phelps County",32.82,122,9.72,23.1
NE-139,"Pierce County",31.06,107,5.06,26
NE-141,"Platte County",30.14,95,3.69,26.45
NE-143,"Polk County",35.41,116,8.52,26.89
NE-145,"Red Willow County",23.58,94,3.02,20.56
NE-147,"Richardson County",42.14,115,8.45,33.69
NE-149,"Rock County",35.84,127,13.11,22.73
NE-151,"Saline County",42.26,126,13.75,28.51
NE-153,"Sarpy County",41.28,122,11.5,29.78
NE-155,"Saunders County",39.0,118,9.84,29.16
NE-157,"Scotts Bluff County",19.04,111,3.62,15.42
NE-159,"Seward County",38.5,121,10.06,28.44
NE-161,"Sheridan County",24.3,125,6.23,18.07
NE-163,"Sherman County",38.1,128,14.39,23.71
NE-165,"Sioux County",20.37,113,3.95,16.42
NE-167,"Stanton County",29.78,91,2.86,26.92
NE-169,"Thayer County",40.9,124,13.41,27.49
NE-171,"Thomas County",35.64,128,14.42,21.22
NE-173,"Thurston County",32.3,101,4.93,27.37
NE-175,"Valley County",37.8,128,14.37,23.43
NE-177,"Washington County",38.55,115,9.39,29.16
NE-179,"Wayne County",30.92,99,4.41,26.51
NE-181,"Webster County",36.2,123,10.75,25.45
NE-183,"Wheeler County",35.76,127,12.13,23.63
NE-185,"York County",37.94,121,10.47,27.47
NV-001,"Churchill County",8.14,106,1.47,6.67
NV-003,"Clark County",12.22,124,4.71,7.51
NV-005,"Douglas County",20.58,109,4.6,15.98
NV-007,"Elko County",18.37,117,4.33,14.04
NV-009,"Esmeralda County",7.16,110,1.79,5.37
NV-011,"Eureka County",15.53,122,4.21,11.32
NV-013,"Humboldt County",14.52,112,3.07,11.45
NV-015,"Lander County",13.06,113,2.73,10.33
NV-017,"Lincoln County",15.58,122,5.08,10.5
NV-019,"Lyon County",10.02,103,1.78,8.24
NV-021,"Mineral County",7.52,94,0.95,6.57
NV-023,"Nye County",10.55,106,2.27,8.28
NV-027,"Pershing County",12.27,119,3.64,8.63
NV-029,"Storey County",15.15,103,2.71,12.44
NV-031,"Washoe County",16.76,118,4.32,12.44
NV-033,"White Pine County",17.47,119,4.66,12.81
NV-510,"Carson City",18.54,104,3.41,15.13
NH-001,"Belknap County",48.28,105,6.03,42.25
NH-003,"Carroll County",56.46,117,9.72,46.74
NH-005,"Cheshire County",47.4,92,4.97,42.43
NH-007,"Coos County",51.75,116,7.89,43.86
NH-009,"Grafton County",52.47,115,8.77,43.7
NH-011,"Hillsborough County",48.56,94,5.21,43.35
NH-013,"Merrimack County",46.71,92,4.62,42.09
NH-015,"Rockingham County",47.88,99,5.6,42.28
NH-017,"Strafford County",47.07,86,3.04,44.03
NH-019,"Sullivan County",46.31,96,4.98,41.33
NJ-001,"Atlantic County",45.36,78,1.53,43.83
NJ-003,"Bergen County",54.08,106,7.55,46.53
NJ-005,"Burlington County",50.73,107,6.58,44.15
NJ-007,"Camden County",50.28,106,6.48,43.8
NJ-009,"Cape May County",44.29,77,1.4,42.89
NJ-011,"Cumberland County",41.89,63,-1.0,42.89
NJ-013,"Essex County",57.66,117,10.22,47.44
NJ-015,"Gloucester County",47.48,94,3.9,43.58
NJ-017,"Hudson County",55.48,118,10.19,45.29
NJ-019,"Hunterdon County",55.37,116,9.35,46.02
NJ-021,"Mercer County",52.83,112,8.18,44.65
NJ-023,"Middlesex County",54.21,114,8.9,45.31
NJ-025,"Monmouth County",53.7,113,8.74,44.96
NJ-027,"Morris County",59.23,115,10.63,48.6
NJ-029,"Ocean County",50.6,103,6.15,44.45
NJ-031,"Passaic County",55.12,108,7.54,47.58
NJ-033,"Salem County",43.1,63,0.43,42.67
NJ-035,"Somerset County",55.4,114,8.89,46.51
NJ-037,"Sussex County",54.31,113,9.08,45.23
NJ-039,"Union County",56.53,117,9.99,46.54
NJ-041,"Warren County",59.28,120,13.13,46.15
NM-001,"Bernalillo County",11.07,56,-0.94,12.01
NM-003,"Catron County",15.88,71,0.02,15.86
NM-005,"Chaves County",12.76,53,-1.12,13.88
NM-006,"Cibola County",11.79,51,-1.3,13.09
NM-007,"Colfax County",17.05,66,0.11,16.94
NM-009,"Curry County",20.36,99,3.44,16.92
NM-011,"De Baca County",11.82,44,-2.32,14.14
NM-013,"Dona Ana County",9.16,58,-0.5,9.66
NM-015,"Eddy County",11.02,42,-2.19,13.21
NM-017,"Grant County",17.14,94,1.66,15.48
NM-019,"Guadalupe County",12.87,48,-1.41,14.28
NM-021,"Harding County",14.81,60,-0.98,15.79
NM-023,"Hidalgo County",14.26,101,1.67,12.59
NM-025,"Lea County",12.45,39,-2.54,14.99
NM-027,"Lincoln County",13.23,40,-1.37,14.6
NM-028,"Los Alamos County",18.42,70,-0.15,18.57
NM-029,"Luna County",11.52,90,1.13,10.39
NM-031,"McKinley County",10.28,39,-1.73,12.01
NM-033,"Mora County",18.51,67,0.22,18.29
NM-035,"Otero County",12.15,47,-0.88,13.03
NM-037,"Quay County",15.31,65,-1.02,16.33
NM-039,"Rio Arriba County",18.59,96,1.98,16.61
NM-041,"Roosevelt County",17.97,84,1.73,16.24
NM-043,"Sandoval County",11.95,43,-1.44,13.39
NM-045,"San Juan County",8.85,63,-0.66,9.51
NM-047,"San Miguel County",15.01,50,-1.46,16.47
NM-049,"Santa Fe County",15.11,79,0.39,14.72
NM-051,"Sierra County",10.36,41,-1.4,11.76
NM-053,"Socorro County",10.4,45,-1.22,11.62
NM-055,"Taos County",18.3,74,0.5,17.8
NM-057,"Torrance County",13.23,48,-1.22,14.45
NM-059,"Union County",14.45,44,-1.89,16.34
NM-061,"Valencia County",9.3,50,-1.02,10.32
NY-001,"Albany County",44.79,109,7.49,37.3
NY-003,"Allegany County",42.28,108,5.31,36.97
NY-005,"Bronx County",52.46,105,7.4,45.06
NY-007,"Broome County",47.46,117,8.6,38.86
NY-009,"Cattaraugus County",48.39,109,5.82,42.57
NY-011,"Cayuga County",46.01,116,9.06,36.95
NY-013,"Chautauqua County",49.1,116,6.5,42.6
NY-015,"Chemung County",41.18,112,6.53,34.65
NY-017,"Chenango County",49.75,114,8.77,40.98
NY-019,"Clinton County",40.17,106,5.72,34.45
NY-021,"Columbia County",45.27,99,4.76,40.51
NY-023,"Cortland County",48.41,113,7.37,41.04
NY-025,"Delaware County",50.88,117,8.28,42.6
NY-027,"Dutchess County",44.77,75,1.19,43.58
NY-029,"Erie County",45.02,115,6.77,38.25
NY-031,"Essex County",55.21,127,14.27,40.94
NY-033,"Franklin County",47.13,121,8.14,38.99
NY-035,"Fulton County",58.13,124,12.56,45.57
NY-037,"Genesee County",40.7,120,6.73,33.97
NY-039,"Greene County",45.55,89,2.72,42.83
NY-041,"Hamilton County",62.29,127,15.49,46.8
NY-043,"Herkimer County",59.84,128,12.99,46.85
NY-045,"Jefferson County",50.11,125,11.34,38.77
NY-047,"Kings County",54.85,119,10.39,44.46
NY-049,"Lewis County",55.31,122,10.03,45.28
NY-051,"Livingston County",37.31,110,4.94,32.37
NY-053,"Madison County",49.75,122,9.4,40.35
NY-055,"Monroe County",37.02,114,5.14,31.88
NY-057,"Montgomery County",47.53,116,9.0,38.53
NY-059,"Nassau County",49.9,97,5.34,44.56
NY-061,"New York County",54.12,115,9.24,44.88
NY-063,"Niagara County",40.11,121,7.84,32.27
NY-065,"Oneida County",57.87,127,12.82,45.05
NY-067,"Onondaga County",48.64,122,10.19,38.45
NY-069,"Ontario County",38.13,110,5.79,32.34
NY-071,"Orange County",49.21,101,5.57,43.64
NY-073,"Orleans County",38.28,116,5.84,32.44
NY-075,"Oswego County",51.86,122,9.81,42.05
NY-077,"Otsego County",50.2,117,8.8,41.4
NY-079,"Putnam County",48.41,84,1.69,46.72
NY-081,"Queens County",53.38,117,9.11,44.27
NY-083,"Rensselaer County",47.86,109,8.61,39.25
NY-085,"Richmond County",57.12,121,11.53,45.59
NY-087,"Rockland County",51.35,93,4.63,46.72
NY-089,"St. Lawrence County",43.25,108,4.83,38.42
NY-091,"Saratoga County",52.63,123,11.62,41.01
NY-093,"Schenectady County",46.35,115,9.24,37.11
NY-095,"Schoharie County",43.48,104,4.83,38.65
NY-097,"Schuyler County",38.4,105,4.7,33.7
NY-099,"Seneca County",39.36,114,5.98,33.38
NY-101,"Steuben County",39.69,112,5.39,34.3
NY-103,"Suffolk County",50.9,105,6.41,44.49
NY-105,"Sullivan County",52.16,100,6.56,45.6
NY-107,"Tioga County",44.8,118,7.89,36.91
NY-109,"Tompkins County",43.2,112,6.63,36.57
NY-111,"Ulster County",51.18,94,3.92,47.26
NY-113,"Warren County",54.52,122,12.57,41.95
NY-115,"Washington County",46.14,114,8.28,37.86
NY-117,"Wayne County",38.58,104,4.47,34.11
NY-119,"Westchester County",50.73,90,3.71,47.02
NY-121,"Wyoming County",41.97,108,4.91,37.06
NY-123,"Yates County",34.36,89,2.29,32.07
NC-001,"Alamance County",45.29,64,0.2,45.09
NC-003,"Alexander County",52.67,102,5.46,47.21
NC-005,"Alleghany County",58.62,108,7.75,50.87
NC-007,"Anson County",43.18,44,-2.53,45.71
NC-009,"Ashe County",58.55,110,7.76,50.79
NC-011,"Avery County",58.8,84,4.05,54.75
NC-013,"Beaufort County",45.33,28,-6.34,51.67
NC-015,"Bertie County",49.89,72,1.07,48.82
NC-017,"Bladen County",46.35,45,-1.72,48.07
NC-019,"Brunswick County",52.66,71,0.71,51.95
NC-021,"Buncombe County",55.08,103,7.08,48
NC-023,"Burke County",56.03,97,5.55,50.48
NC-025,"Cabarrus County",48.18,91,2.08,46.1
NC-027,"Caldwell County",58.43,102,6.97,51.46
NC-029,"Camden County",51.41,88,3.4,48.01
NC-031,"Carteret County",51.03,43,-4.27,55.3
NC-033,"Caswell County",46.48,85,2.99,43.49
NC-035,"Catawba County",50.44,88,2.76,47.68
NC-037,"Chatham County",45.46,64,-0.68,46.14
NC-039,"Cherokee County",67.27,100,7.74,59.53
NC-041,"Chowan County",50.17,67,0.6,49.57
NC-043,"Clay County",71.49,108,10.17,61.32
NC-045,"Cleveland County",45.44,45,-3.78,49.22
NC-047,"Columbus County",48.47,55,-1.03,49.5
NC-049,"Craven County",46.27,27,-6.81,53.08
NC-051,"Cumberland County",46.19,64,-0.82,47.01
NC-053,"Currituck County",50.65,83,3.07,47.58
NC-055,"Dare County",45.79,29,-5.26,51.05
NC-057,"Davidson County",49.37,94,3.62,45.75
NC-059,"Davie County",46.43,81,1.03,45.4
NC-061,"Duplin County",50.98,68,0.48,50.5
NC-063,"Durham County",45.27,72,0.79,44.48
NC-065,"Edgecombe County",45.88,55,-1.43,47.31
NC-067,"Forsyth County",50.49,107,5.85,44.64
NC-069,"Franklin County",48.85,85,2.95,45.9
NC-071,"Gaston County",50.27,93,2.79,47.48
NC-073,"Gates County",50.61,75,2.26,48.35
NC-075,"Graham County",74.06,114,10.54,63.52
NC-077,"Granville County",46.16,74,1.53,44.63
NC-079,"Greene County",47.93,57,-0.88,48.81
NC-081,"Guilford County",51.2,111,6.5,44.7
NC-083,"Halifax County",46.6,61,0.73,45.87
NC-085,"Harnett County",47.34,71,0.38,46.96
NC-087,"Haywood County",67.84,118,12.72,55.12
NC-089,"Henderson County",65.92,99,7.55,58.37
NC-091,"Hertford County",50.52,78,2.22,48.3
NC-093,"Hoke County",45.64,62,-1.23,46.87
NC-095,"Hyde County",48.44,35,-4.02,52.46
NC-097,"Iredell County",49.66,94,2.92,46.74
NC-099,"Jackson County",76.01,115,13.16,62.85
NC-101,"Johnston County",53.46,106,6.45,47.01
NC-103,"Jones County",45.77,25,-6.89,52.66
NC-105,"Lee County",45.45,68,-0.92,46.37
NC-107,"Lenoir County",47.16,43,-2.97,50.13
NC-109,"Lincoln County",48.6,76,0.86,47.74
NC-111,"McDowell County",65.35,112,10.35,55
NC-113,"Macon County",76.69,113,13.21,63.48
NC-115,"Madison County",56.33,119,10.61,45.72
NC-117,"Martin County",49.27,64,0.32,48.95
NC-119,"Mecklenburg County",48.63,94,2.69,45.94
NC-121,"Mitchell County",58.05,110,7.17,50.88
NC-123,"Montgomery County",47.16,76,0.57,46.59
NC-125,"Moore County",44.21,57,-2.85,47.06
NC-127,"Nash County",47.94,74,1.01,46.93
NC-129,"New Hanover County",50.7,50,-2.42,53.12
NC-131,"Northampton County",48.3,70,2.11,46.19
NC-133,"Onslow County",45.65,20,-8.11,53.76
NC-135,"Orange County",45.53,68,0.73,44.8
NC-137,"Pamlico County",48.15,27,-5.82,53.97
NC-139,"Pasquotank County",51.71,84,3.11,48.6
NC-141,"Pender County",50.65,53,-1.49,52.14
NC-143,"Perquimans County",51.18,75,1.91,49.27
NC-145,"Person County",44.95,71,1.07,43.88
NC-147,"Pitt County",47.29,47,-1.91,49.2
NC-149,"Polk County",62.52,88,4.91,57.61
NC-151,"Randolph County",49.3,86,3.04,46.26
NC-153,"Richmond County",44.85,54,-1.84,46.69
NC-155,"Robeson County",43.72,49,-1.87,45.59
NC-157,"Rockingham County",48.29,97,4.42,43.87
NC-159,"Rowan County",44.38,55,-2.19,46.57
NC-161,"Rutherford County",53.51,79,2.13,51.38
NC-163,"Sampson County",51.58,89,3.34,48.24
NC-165,"Scotland County",44.25,57,-1.91,46.16
NC-167,"Stanly County",47.47,79,1.15,46.32
NC-169,"Stokes County",51.17,98,5.32,45.85
NC-171,"Surry County",54.24,106,6.72,47.52
NC-173,"Swain County",76.38,120,12.93,63.45
NC-175,"Transylvania County",80.25,104,10.4,69.85
NC-177,"Tyrrell County",48.78,45,-2.16,50.94
NC-179,"Union County",40.72,35,-4.03,44.75
NC-181,"Vance County",46.4,72,1.72,44.68
NC-183,"Wake County",48.03,80,2.24,45.79
NC-185,"Warren County",46.2,70,1.69,44.51
NC-187,"Washington County",49.2,52,-1.42,50.62
NC-189,"Watauga County",59.02,100,6.32,52.7
NC-191,"Wayne County",52.32,95,4.01,48.31
NC-193,"Wilkes County",56.01,101,6.31,49.7
NC-195,"Wilson County",49.84,82,2.49,47.35
NC-197,"Yadkin County",49.08,92,3.85,45.23
NC-199,"Yancey County",62.0,118,10.19,51.81
ND-001,"Adams County",21.16,123,5.24,15.92
ND-003,"Barnes County",28.81,128,9.17,19.64
ND-005,"Benson County",21.39,111,4.18,17.21
ND-007,"Billings County",22.07,125,6.66,15.41
ND-009,"Bottineau County",20.54,109,4.19,16.35
ND-011,"Bowman County",21.98,125,7.08,14.9
ND-013,"Burke County",21.79,119,5.43,16.36
ND-015,"Burleigh County",25.55,127,8.92,16.63
ND-017,"Cass County",29.83,128,9.56,20.27
ND-019,"Cavalier County",21.58,95,2.57,19.01
ND-021,"Dickey County",30.31,128,10.1,20.21
ND-023,"Divide County",20.4,119,5.33,15.07
ND-025,"Dunn County",22.38,123,5.88,16.5
ND-027,"Eddy County",25.79,126,7.8,17.99
ND-029,"Emmons County",27.69,128,10.59,17.1
ND-031,"Foster County",26.25,126,7.88,18.37
ND-033,"Golden Valley County",23.38,128,8.53,14.85
ND-035,"Grand Forks County",29.19,128,9.83,19.36
ND-037,"Grant County",25.17,126,8.44,16.73
ND-039,"Griggs County",28.85,128,9.94,18.91
ND-041,"Hettinger County",23.65,124,7.22,16.43
ND-043,"Kidder County",28.34,128,11.12,17.22
ND-045,"LaMoure County",30.58,128,10.9,19.68
ND-047,"Logan County",30.28,128,12.33,17.95
ND-049,"McHenry County",21.19,114,4.84,16.35
ND-051,"McIntosh County",30.69,128,12.5,18.19
ND-053,"McKenzie County",20.55,118,5.32,15.23
ND-055,"McLean County",21.52,120,5.19,16.33
ND-057,"Mercer County",21.31,117,5.07,16.24
ND-059,"Morton County",24.35,125,7.75,16.6
ND-061,"Mountrail County",22.7,124,6.7,16
ND-063,"Nelson County",27.33,128,8.68,18.65
ND-065,"Oliver County",21.07,115,4.28,16.79
ND-067,"Pembina County",22.5,101,3.16,19.34
ND-069,"Pierce County",19.43,96,2.74,16.69
ND-071,"Ramsey County",23.16,120,5.69,17.47
ND-073,"Ransom County",29.55,126,9.07,20.48
ND-075,"Renville County",20.98,119,4.84,16.14
ND-077,"Richland County",30.56,126,9.38,21.18
ND-079,"Rolette County",18.32,76,0.7,17.62
ND-081,"Sargent County",31.84,127,11.27,20.57
ND-083,"Sheridan County",25.83,127,8.48,17.35
ND-085,"Sioux County",27.16,128,10.31,16.85
ND-087,"Slope County",22.42,125,7.01,15.41
ND-089,"Stark County",22.49,123,5.99,16.5
ND-091,"Steele County",30.21,128,10.94,19.27
ND-093,"Stutsman County",27.44,127,8.95,18.49
ND-095,"Towner County",18.25,78,0.39,17.86
ND-097,"Traill County",31.46,128,11.54,19.92
ND-099,"Walsh County",24.91,123,6.24,18.67
ND-101,"Ward County",21.36,117,4.89,16.47
ND-103,"Wells County",24.21,123,6.32,17.89
ND-105,"Williams County",19.74,116,4.95,14.79
OH-001,"Adams County",57.06,125,14.12,42.94
OH-003,"Allen County",47.03,124,11.8,35.23
OH-005,"Ashland County",45.15,120,8.01,37.14
OH-007,"Ashtabula County",49.1,121,9.47,39.63
OH-009,"Athens County",50.77,121,10.6,40.17
OH-011,"Auglaize County",46.75,122,10.71,36.04
OH-013,"Belmont County",49.48,120,8.63,40.85
OH-015,"Brown County",55.32,121,11.88,43.44
OH-017,"Butler County",47.48,110,6.88,40.6
OH-019,"Carroll County",50.89,124,12.07,38.82
OH-021,"Champaign County",47.56,122,9.62,37.94
OH-023,"Clark County",45.96,115,7.26,38.7
OH-025,"Clermont County",54.65,121,11.82,42.83
OH-027,"Clinton County",51.94,118,9.72,42.22
OH-029,"Columbiana County",53.95,127,16.01,37.94
OH-031,"Coshocton County",48.29,124,9.42,38.87
OH-033,"Crawford County",42.78,104,5.3,37.48
OH-035,"Cuyahoga County",39.93,91,4.05,35.88
OH-037,"Darke County",45.54,116,7.65,37.89
OH-039,"Defiance County",44.14,124,10.37,33.77
OH-041,"Delaware County",43.33,104,5.34,37.99
OH-043,"Erie County",37.47,89,2.94,34.53
OH-045,"Fairfield County",50.11,124,10.32,39.79
OH-047,"Fayette County",49.19,122,9.72,39.47
OH-049,"Franklin County",43.52,103,5.17,38.35
OH-051,"Fulton County",43.22,125,9.81,33.41
OH-053,"Gallia County",48.99,116,7.76,41.23
OH-055,"Geauga County",46.63,118,7.98,38.65
OH-057,"Greene County",43.91,94,4.21,39.7
OH-059,"Guernsey County",47.22,116,7.82,39.4
OH-061,"Hamilton County",51.28,121,10.4,40.88
OH-063,"Hancock County",41.76,115,6.89,34.87
OH-065,"Hardin County",43.42,122,7.94,35.48
OH-067,"Harrison County",49.31,123,9.82,39.49
OH-069,"Henry County",43.55,124,9.73,33.82
OH-071,"Highland County",56.51,126,13.98,42.53
OH-073,"Hocking County",49.8,123,9.44,40.36
OH-075,"Holmes County",50.05,124,11.84,38.21
OH-077,"Huron County",40.14,101,4.09,36.05
OH-079,"Jackson County",50.71,120,9.49,41.22
OH-081,"Jefferson County",48.63,123,9.78,38.85
OH-083,"Knox County",45.96,112,6.54,39.42
OH-085,"Lake County",42.75,103,5.22,37.53
OH-087,"Lawrence County",50.57,119,8.6,41.97
OH-089,"Licking County",46.32,112,6.58,39.74
OH-091,"Logan County",46.36,122,9.79,36.57
OH-093,"Lorain County",38.47,96,3.73,34.74
OH-095,"Lucas County",37.77,108,5.39,32.38
OH-097,"Madison County",42.56,101,4.62,37.94
OH-099,"Mahoning County",47.74,123,10.54,37.2
OH-101,"Marion County",41.0,98,4.51,36.49
OH-103,"Medina County",39.92,98,3.8,36.12
OH-105,"Meigs County",50.82,122,10.21,40.61
OH-107,"Mercer County",44.47,119,7.94,36.53
OH-109,"Miami County",44.09,108,6.39,37.7
OH-111,"Monroe County",52.39,120,10.05,42.34
OH-113,"Montgomery County",43.18,96,4.25,38.93
OH-115,"Morgan County",50.7,123,10.96,39.74
OH-117,"Morrow County",44.66,106,5.51,39.15
OH-119,"Muskingum County",47.73,119,8.61,39.12
OH-121,"Noble County",48.98,115,8.39,40.59
OH-123,"Ottawa County",34.53,82,1.65,32.88
OH-125,"Paulding County",43.23,119,8.95,34.28
OH-127,"Perry County",50.12,122,10.65,39.47
OH-129,"Pickaway County",51.65,126,12.36,39.29
OH-131,"Pike County",54.1,126,13.18,40.92
OH-133,"Portage County",46.9,122,9.8,37.1
OH-135,"Preble County",46.15,108,6.6,39.55
OH-137,"Putnam County",43.28,121,8.95,34.33
OH-139,"Richland County",45.22,114,7.12,38.1
OH-141,"Ross County",52.55,125,12.33,40.22
OH-143,"Sandusky County",38.19,103,4.41,33.78
OH-145,"Scioto County",51.79,120,9.99,41.8
OH-147,"Seneca County",41.07,110,5.58,35.49
OH-149,"Shelby County",45.0,114,7.94,37.06
OH-151,"Stark County",45.03,119,7.63,37.4
OH-153,"Summit County",40.97,104,4.77,36.2
OH-155,"Trumbull County",50.32,127,12.56,37.76
OH-157,"Tuscarawas County",48.38,124,9.84,38.54
OH-159,"Union County",43.23,113,6.86,36.37
OH-161,"Van Wert County",44.88,122,9.72,35.16
OH-163,"Vinton County",50.85,123,10.15,40.7
OH-165,"Warren County",49.19,114,7.63,41.56
OH-167,"Washington County",49.74,120,8.9,40.84
OH-169,"Wayne County",46.05,121,9.52,36.53
OH-171,"Williams County",44.35,124,10.34,34.01
OH-173,"Wood County",39.27,110,5.88,33.39
OH-175,"Wyandot County",41.56,110,5.97,35.59
OK-001,"Adair County",70.0,125,24.84,45.16
OK-003,"Alfalfa County",41.35,127,13.86,27.49
OK-005,"Atoka County",52.45,107,9.06,43.39
OK-007,"Beaver County",26.86,117,6.39,20.47
OK-009,"Beckham County",31.55,112,6.98,24.57
OK-011,"Blaine County",38.13,120,9.64,28.49
OK-013,"Bryan County",50.16,108,9.32,40.84
OK-015,"Caddo County",35.53,99,5.18,30.35
OK-017,"Canadian County",44.86,125,14.13,30.73
OK-019,"Carter County",41.48,100,4.84,36.64
OK-021,"Cherokee County",65.97,126,22.37,43.6
OK-023,"Choctaw County",56.29,113,10.92,45.37
OK-025,"Cimarron County",15.17,47,-1.37,16.54
